Time,Grass,Mice,Rabbits,Hawks
8,2610,595,433,123
16,3442,617,327,166
24,3487,413,208,201
32,3522,192,150,211
40,3464,82,91,214
48,3336,39,60,215
56,3502,15,46,199
64,3475,5,27,192
72,3457,9,15,182
80,3430,2,9,174
88,3412,3,5,157
96,3401,3,5,145
104,3384,1,8,133
112,3346,0,13,122
120,3334,0,10,105
128,3506,0,9,93
136,3498,0,10,78
144,3473,0,6,73
152,3466,0,4,69
160,3459,0,5,65
168,3455,0,5,65
176,3453,0,6,60
184,3450,0,6,55
192,3443,0,4,53
200,3442,0,3,45
208,3401,0,7,44
216,3382,0,13,42
224,3377,0,11,39
232,3366,0,12,35
240,3524,0,14,34
248,3509,0,15,29
256,3446,0,30,27
264,3389,0,37,26
272,3550,0,41,29
280,3417,0,68,28
288,3353,0,51,31
296,3441,0,72,33
304,3352,0,81,32
312,3390,0,103,35
320,3492,0,141,40
328,3400,0,122,48
336,3352,0,116,49
344,3575,0,110,50
352,3491,0,114,47
360,3406,0,108,52
368,3460,0,100,61
376,3345,0,84,64
384,3479,0,81,70
392,3387,0,88,69
400,3360,0,72,71
408,3431,0,74,75
416,3526,0,71,78
424,3439,0,50,80
432,3342,0,62,80
440,3432,0,44,84
448,3423,0,38,85
456,3391,0,45,82
464,3364,0,35,81
472,3348,0,29,81
480,3343,0,26,73
488,3508,0,28,69
496,3504,0,20,66
504,3496,0,16,63
512,3494,0,13,60
520,3475,0,16,57
528,3454,0,17,50
536,3411,0,23,48
544,3459,0,56,39
552,3394,0,46,43
560,3367,0,34,44
568,3511,0,42,46
576,3342,0,61,46
584,3505,0,44,52
592,3480,0,47,54
600,3440,0,54,54
608,3421,0,38,54
616,3417,0,35,54
624,3413,0,30,53
632,3376,0,28,49
640,3375,0,20,49
648,3364,0,14,48
656,3341,0,12,48
664,3527,0,22,47
672,3441,0,28,42
680,3427,0,30,38
688,3510,0,39,40
696,3476,0,35,42
704,3455,0,19,46
712,3434,0,17,46
720,3419,0,16,44
728,3412,0,16,43
736,3378,0,22,42
744,3363,0,15,40
752,3352,0,13,39
760,3341,0,12,38
768,3521,0,12,36
776,3502,0,15,36
784,3428,0,17,34
792,3408,0,15,31
800,3402,0,16,30
